User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
GoldenbergLaw,twinsational,-0.0258,0.136,0.734,0.13,RT @twinsational: A #Trump Fan Just Pulled A Gun On A Black Voter At #Florida Polling Station - https://t.co/fstiatqr1o
GoldenbergLaw,occupydemocrats,-0.0258,0.136,0.734,0.13,RT @twinsational: A #Trump Fan Just Pulled A Gun On A Black Voter At #Florida Polling Station - https://t.co/fstiatqr1o
MachPierogi,syoka68,-0.2462,0.099,0.901,0.0,RT @syoka68: Not hard to believe they are rigging exit polls! Turn off the tv GO VOTE TRUMP! https://t.co/HLNXmSp0IQ
MachPierogi,twitter,-0.2462,0.099,0.901,0.0,RT @syoka68: Not hard to believe they are rigging exit polls! Turn off the tv GO VOTE TRUMP! https://t.co/HLNXmSp0IQ
GodlessNZ,itsugamom,0.6093,0.0,0.819,0.181,RT @itsugamom: #StayInLine ....So proud of Trumpsters! Just take a fold out chair! When you vote Trump we will #DrainTheSwamp! 
iAmsterdamNews,christianitytoday,0.2023,0.0,0.878,0.122,Top 10 Stats Explaining the Evangelical Vote for Trump or Clinton https://t.co/iRbj1bZRjw #Amsterdam #News
NJbyMarriage,NivenJ1,-0.9001,0.5,0.5,0.0,RT @NivenJ1: Trump: I hate illegal immigrants.Melania: 'I hate cyber bullies'*look at each other longingly*
jamesfoxx19,paulbirkett3,0.3612,0.0,0.894,0.106,RT @paulbirkett3: Choosing between Clinton and Trump to run a nation is like choosing between jimmy saville and the McCanns to babysit your
Artco77,guitarboyjohnny,0.0,0.0,1.0,0.0,RT @guitarboyjohnny: Trump leads Clinton 32 to 25 votes in New Hampshire. EVERYONE TO CANADA!!!
Morwennnnna,TheLadBible,0.3612,0.0,0.848,0.152,RT @TheLadBible: Stevie Wonder says Trump being President is like him driving a car. https://t.co/cpaF7yRJdz https://t.co/WcW5NvNcWv
Morwennnnna,theladbible,0.3612,0.0,0.848,0.152,RT @TheLadBible: Stevie Wonder says Trump being President is like him driving a car. https://t.co/cpaF7yRJdz https://t.co/WcW5NvNcWv
mythicalbellamy,BlakeBeMine,-0.6486,0.389,0.474,0.137,RT @BlakeBeMine: Accuse me of supporting Trump and I'll block your ass so fast
bitterflie,pattonoswalt,0.0,0.0,1.0,0.0,RT @pattonoswalt: OMG Donald Trump just texted this to me. Does he already know I voted for Clinton? https://t.co/7COBWg7imR
bitterflie,twitter,0.0,0.0,1.0,0.0,RT @pattonoswalt: OMG Donald Trump just texted this to me. Does he already know I voted for Clinton? https://t.co/7COBWg7imR
WhittyWhit86,BetteMidler,-0.5852,0.256,0.744,0.0,RT @BetteMidler: I guess the Trump men don't really trust their wives!!! https://t.co/E2Vyz2V0fp
WhittyWhit86,twitter,-0.5852,0.256,0.744,0.0,RT @BetteMidler: I guess the Trump men don't really trust their wives!!! https://t.co/E2Vyz2V0fp
EchoesOfKyraaa,Big_Shug99,0.8316,0.0,0.729,0.271,RT @Big_Shug99: So is there an application for head cotton picker if Trump wins. I think I have great management skills to get cotton picke
philboldt,NoahCRothman,-0.1531,0.157,0.714,0.129,@NoahCRothman @BanditGolf @NewsPolitics Maybe if Trump would of insulted a few more people. That could of help right?
MGlick78,BillGalston,0.5859,0.0,0.847,0.153,"RT @BillGalston: Early exit polls show Trump and Clinton are neck-and-neck among whites with a college degree. If Dems win this group, hist"
sirdrano,livelrod,0.0,0.0,1.0,0.0,RT @livelrod: Voted! #TRUMP https://t.co/09MmBBVWYg
sirdrano,twitter,0.0,0.0,1.0,0.0,RT @livelrod: Voted! #TRUMP https://t.co/09MmBBVWYg
tamaraleighllc,trfgrp,0.0,0.0,1.0,0.0,"RT @trfgrp: Our projection: Trump 306 Clinton 223 w/CO, VA &amp; WI possibly breaking Trump as ""hidden voter"" #trumptiderolls https://t.co/u34D"
tamaraleighllc,t,0.0,0.0,1.0,0.0,"RT @trfgrp: Our projection: Trump 306 Clinton 223 w/CO, VA &amp; WI possibly breaking Trump as ""hidden voter"" #trumptiderolls https://t.co/u34D"
Larkell_,jacksfilms,0.8576,0.0,0.68,0.32,"RT @jacksfilms: ""If I win, I'm throwing you in jail!"" bellows Trump""Why?"" blushes Hillary""Because you're so sexy it's illegal""He then gr"
fredbauerblog,nationalreview,0.0,0.0,1.0,0.0,"Before the deluge of results, I'll reiterate this: Our republic will survive whatever the result. https://t.co/TUW7beveWb"
election_votes,C_Smatana,0.0,0.0,1.0,0.0,RT @C_Smatana: Who are you voting for Trump or Clinton?!? #ElectionDay #USElection2016 #ElectionNight #HillaryClintonForPresident #DonaldTr
mottstreet6,realDonaldTrump,0.7836,0.0,0.723,0.277,RT @realDonaldTrump: I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
thatdaba,TheLastRefuge2,-0.4588,0.214,0.786,0.0,"RT @TheLastRefuge2: Typical Nevada Politics.  Election Officials/Workers wearing ""Defeat Trump"" T-Shirts. https://t.co/TqlBqmjy0G"
thatdaba,twitter,-0.4588,0.214,0.786,0.0,"RT @TheLastRefuge2: Typical Nevada Politics.  Election Officials/Workers wearing ""Defeat Trump"" T-Shirts. https://t.co/TqlBqmjy0G"
clodma0202,mitchellvii,0.0,0.0,1.0,0.0,RT @mitchellvii: The fact leads are so large in  KY and IN makes me think Trump is getting monster vote and dem crossovers.
stratocat1012,Bikers4Trump,-0.6486,0.227,0.773,0.0,RT @Bikers4Trump: We need Trump &amp; #ImVotingBecause @HillaryClinton is a criminal &amp; must be stopped this Election Eve#RETWEET &amp; Visit https
nutifafa_max,Ryan23675317,0.4767,0.098,0.675,0.227,RT @Ryan23675317: Just in case trump wins I'm latin btw I'll miss yall
rhinoceroseosei,Bill_Nye_Tho,0.4404,0.0,0.838,0.162,RT @Bill_Nye_Tho: rt if u think this tiny squid would be a better president than donald trump https://t.co/3zdz5DNTB5
rhinoceroseosei,twitter,0.4404,0.0,0.838,0.162,RT @Bill_Nye_Tho: rt if u think this tiny squid would be a better president than donald trump https://t.co/3zdz5DNTB5
johnboor,BillMoyers,0.0,0.0,1.0,0.0,Trumps Three Biggest Enablers - https://t.co/HnJY9Rgfnp https://t.co/QywMDcYgks
boredhoney,SteadyTheo,0.4939,0.0,0.868,0.132,"RT @SteadyTheo: Drink water, don't vote for Donald Trump, express empathy, enjoy art,  don't compare yourself to other people, do not read"
FranP20,nytpolitics,-0.7783,0.302,0.698,0.0,@nytpolitics ppl say that Trump plans a class action lawsuit against anyone who did not vote for him. He's just a Sore Loser.
TheoJans1,MMFlint,0.05,0.105,0.782,0.113,Hear hear @MMFlint Do vote dear Americans. But not for #Trump Thanks on behalf of the people of the Netherlands.
Deibliane1,mitchellvii,0.0,0.0,1.0,0.0,@mitchellvii this County is heavy for Trump
mkearley2008,WardahHashmi,0.0,0.0,1.0,0.0,@WardahHashmi Look who's she's running against. I don't think Trump could find Pakistan on a map.
sherrymisner,dawg_lb,0.0,0.0,1.0,0.0,"RT @dawg_lb: Hillary R Clinton,YOU SHOULD NEVER BE ABLE TO LOOK AT YOURSELF IN THE MIRROR!!!!!!!VOTE AS FAST AS YOU CAN!!!!!!!!!!TRUM"
torres_dalkin,MadelnCanada,0.0,0.0,1.0,0.0,RT @MadelnCanada: #MeanwhileInCanada if Trump wins.. #ElectionNight https://t.co/MzLXBdjcXh
