User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
march4progress,Vallmeister,0.3182,0.0,0.892,0.108,RT @Vallmeister: Please take a moment to reflect on everything Bernie did for Equality and more Progressive policies during this election #
MacDHistory,washingtonpost,0.0,0.0,1.0,0.0,RT @washingtonpost: Police respond to shooting near Los Angeles-area polling place https://t.co/1255zj2WzQ
MacDHistory,washingtonpost,0.0,0.0,1.0,0.0,RT @washingtonpost: Police respond to shooting near Los Angeles-area polling place https://t.co/1255zj2WzQ
Dwtjr2,1VoiceMatters,-0.7793,0.327,0.673,0.0,RT @1VoiceMatters: This Election is RIGGED! This is unacceptable! #myvote2016 #ElectionDay #ElectionNight @bfraser747 @peddoc63 @_CFJ_ htt
glahn_,YouTube,0.0,0.0,1.0,0.0,Election Results and Analysis Live Stream https://t.co/LoBczIPoAv via @YouTube
glahn_,youtube,0.0,0.0,1.0,0.0,Election Results and Analysis Live Stream https://t.co/LoBczIPoAv via @YouTube
emily_jecker126,jolie_anderson9,0.5719,0.0,0.837,0.163,RT @jolie_anderson9: if Hilary wins the election she's gonna have to build a wall to keep us in bc I'm out
carlawinston5,Mrlend,0.5904,0.0,0.857,0.143,"RT @Mrlend: TELL ALL FRIENDS ESPEC FL, PA, VA, NC - GET OUT AND VOTE YOU'LL DECIDE ELECTION.. POLLERS SAY LATE VOTERS DECIDING = VOTE @TR h"
PattyHamilton19,JamesOKeefeIII,0.7027,0.0,0.779,0.221,"RT @JamesOKeefeIII: WOW! Caught more #VoterFraud in N Philly. Election workers caught BREAKING THE LAW. #VeritasIsEverywhere Stay tuned, co"
silverfoxmedia1,kilmeade,0.7003,0.0,0.633,0.367,"RT @kilmeade: Special election edition of ""Kilmeade and Friends"" 7pm-9am https://t.co/gfZjqu8eBj  @foxandfriends"
silverfoxmedia1,radio,0.7003,0.0,0.633,0.367,"RT @kilmeade: Special election edition of ""Kilmeade and Friends"" 7pm-9am https://t.co/gfZjqu8eBj  @foxandfriends"
Sarklor,maragrunbaum,0.1406,0.0,0.925,0.075,"RT @maragrunbaum: Well, I came to the Botanical Garden this afternoon to try NOT to think about the election, but https://t.co/6ubdu4smf7"
Sarklor,twitter,0.1406,0.0,0.925,0.075,"RT @maragrunbaum: Well, I came to the Botanical Garden this afternoon to try NOT to think about the election, but https://t.co/6ubdu4smf7"
sillyri,burgurll,0.0,0.0,1.0,0.0,"RT @burgurll: Michellle Obama should run for president next election and her slogan should be ""Ya'll thought we were done"""
wolfwood207,YouTube,0.4215,0.0,0.823,0.177,I liked a @YouTube video https://t.co/25urjYnm2g The Daily Show - The Final Days of the 2016 Election
wolfwood207,youtube,0.4215,0.0,0.823,0.177,I liked a @YouTube video https://t.co/25urjYnm2g The Daily Show - The Final Days of the 2016 Election
election_votes,C_Smatana,0.0,0.0,1.0,0.0,RT @C_Smatana: Who are you voting for Trump or Clinton?!? #ElectionDay #USElection2016 #ElectionNight #HillaryClintonForPresident #DonaldTr
mottstreet6,realDonaldTrump,0.7836,0.0,0.723,0.277,RT @realDonaldTrump: I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
WHAS11NewsDesk,WHAS11Kayla,0.0,0.0,1.0,0.0,RT @WHAS11Kayla: Here's what KY Senate President Robert Stivers had to say ahead of tonight's election. The GOP has the... https://t.co/cCO
WHAS11NewsDesk,t,0.0,0.0,1.0,0.0,RT @WHAS11Kayla: Here's what KY Senate President Robert Stivers had to say ahead of tonight's election. The GOP has the... https://t.co/cCO
thatdaba,TheLastRefuge2,-0.4588,0.214,0.786,0.0,"RT @TheLastRefuge2: Typical Nevada Politics.  Election Officials/Workers wearing ""Defeat Trump"" T-Shirts. https://t.co/TqlBqmjy0G"
thatdaba,twitter,-0.4588,0.214,0.786,0.0,"RT @TheLastRefuge2: Typical Nevada Politics.  Election Officials/Workers wearing ""Defeat Trump"" T-Shirts. https://t.co/TqlBqmjy0G"
stratocat1012,Bikers4Trump,-0.6486,0.227,0.773,0.0,RT @Bikers4Trump: We need Trump &amp; #ImVotingBecause @HillaryClinton is a criminal &amp; must be stopped this Election Eve#RETWEET &amp; Visit https
BANQVE,Deggans,0.0,0.0,1.0,0.0,RT @Deggans: Follow #election 2016 results through NPR's live blog here: https://t.co/vcEZp5MQG1
BANQVE,npr,0.0,0.0,1.0,0.0,RT @Deggans: Follow #election 2016 results through NPR's live blog here: https://t.co/vcEZp5MQG1
awwhalenawl,iMustPandaLean,0.0,0.0,1.0,0.0,RT @iMustPandaLean: It's almost time for the results and I don't mean the election #CFP
SJB6991,bawesome84,0.9089,0.0,0.598,0.402,RT @bawesome84: Who do you honestly think will win the election? Not who you want to win but whom you think will win! @TinaCatalone @JtMobl
parettijacob,REALBrianStreng,0.7096,0.0,0.789,0.211,RT @REALBrianStreng: Joke is on Hillary if she wins the election because that means she has to sit at the desk Monica was under
EmmaSegasture,EpicallyKaren,-0.3472,0.238,0.617,0.144,RT @EpicallyKaren: #IVotedJillStein &amp; it felt so good to vote #PeoplePlanetAndPeaceOverProfit in this ridiculous insult of an election htt
JoeyVincent98,DrunkOldGrad,-0.481,0.135,0.865,0.0,RT @DrunkOldGrad: Here's a #MannequinChallenge from the Corps of Cadets to take your mind off this damn election for a minute. (Works cited
karodgers7,asuevents,0.6775,0.085,0.639,0.275,Check out this great event going on at ASU. Dont miss out! #Sponsored https://t.co/7AhPDQJYB1
tlynn561,kayleighmcenany,0.0,0.0,1.0,0.0,RT @kayleighmcenany: Evening voters could determine this election - you still have time to go vote Trump!!!  #ElectionNight
lilaustin110,realDonaldTrump,0.7836,0.0,0.723,0.277,RT @realDonaldTrump: I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
blurrygambino,twitter,0.128,0.169,0.635,0.196,When you realize that we're screwed if trump or Hillary wins the election https://t.co/5ULRBFJVIR
RowenaGalavitz,NPR,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
RowenaGalavitz,npr,0.4019,0.0,0.863,0.137,RT @NPR: Los Angeles authorities say two polling locations are closed due to an active shooter situation. https://t.co/C7Y1uiDgpf
M7MD_2oo1,IHE_OFFICIAL,-0.8625,0.312,0.688,0.0,"RT @IHE_OFFICIAL: I have a new video finished, but I'm thinking about saving it till all the election stress has died down a little."
mlynne3,JamesOKeefeIII,0.7027,0.0,0.779,0.221,"RT @JamesOKeefeIII: WOW! Caught more #VoterFraud in N Philly. Election workers caught BREAKING THE LAW. #VeritasIsEverywhere Stay tuned, co"
sean_lynch,twitter,0.4019,0.0,0.891,0.109,"When Obama got elected, iPhone had been on sale for a year and had just added 3G support. Can't wait to see where c https://t.co/WMqj1zV2Ey"
freddie1012,Things4WhitePpl,0.0,0.0,1.0,0.0,RT @Things4WhitePpl: Breaking up over an election. https://t.co/2K3zfhewRY
freddie1012,twitter,0.0,0.0,1.0,0.0,RT @Things4WhitePpl: Breaking up over an election. https://t.co/2K3zfhewRY
SteveTVNews,secstatewa,0.0,0.0,1.0,0.0,RT @secstatewa: Here's how WA election returns will be reported tonight &amp; in coming days. https://t.co/BwDLwX4ING
