User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
bikerbd,ColorMeRed,-0.4404,0.163,0.837,0.0,RT @ColorMeRed: Obama has no clueing  what he's accusing Russia of.. Obama has interfered with every election from Canada to Egypt... what
BillBartosik,bryanbehar,0.0772,0.18,0.631,0.189,RT @bryanbehar: We are talking about the theft of an American election by a foreign enemy. And no branch of govt willing to ensure justice
adirado29,yahoo,0.0,0.0,1.0,0.0,Trump on Russia meddling in US election: 'I don't believe it' #MAGA..  https://t.co/6NYEZg1L3Y
JJFan18,MarkBrewerDems,-0.3612,0.102,0.898,0.0,RT @MarkBrewerDems: Time for reform: the legacy of @migop @MichSoS Ruth Johnson is the mess of an election system the recount revealed http
ghostwrittn,michaelianblack,0.0,0.0,1.0,0.0,RT @michaelianblack: Another thing that isn't normal: there has not been a single moment since 11/8 where some part of me wasn't thinking a
mommysquared,luna_sea,-0.34,0.118,0.882,0.0,"RT @luna_sea: Bipartisan group of senators say reports on Russia cyberattacks to influence election should ""alarm every American"" https://t"
mommysquared,,-0.34,0.118,0.882,0.0,"RT @luna_sea: Bipartisan group of senators say reports on Russia cyberattacks to influence election should ""alarm every American"" https://t"
COBYKOEHL,NewCenturyTimes,-0.4019,0.137,0.863,0.0,RT @NewCenturyTimes: Russia Reveals Real Reason Putin Got Involved In Election; Will Piss Off Every Person https://t.co/luVrucmPbq https:/
COBYKOEHL,newcenturytimes,-0.4019,0.137,0.863,0.0,RT @NewCenturyTimes: Russia Reveals Real Reason Putin Got Involved In Election; Will Piss Off Every Person https://t.co/luVrucmPbq https:/
rememberangel00,markknoller,-0.3818,0.12,0.88,0.0,RT @markknoller: Leading network evening newscasts: CBS: Russian interference in US election?; ABC/NBC: Arctic snow and temps slam parts of
tombstone19391,schober_lisa,-0.4404,0.127,0.873,0.0,@schober_lisa @Reuters Tell me did you ask for the same thing about Hillary when she was such a train wreck through https://t.co/jzJcLfxE73
tombstone19391,twitter,-0.4404,0.127,0.873,0.0,@schober_lisa @Reuters Tell me did you ask for the same thing about Hillary when she was such a train wreck through https://t.co/jzJcLfxE73
RanttNews,casatino,-0.1027,0.097,0.903,0.0,RT @casatino: FBI: sends vague letter; actually nothingMSM: *quivers*CIA: confirms Russia interfered w/electionMSM: \_()_/https://
Eonkidz,RealAlexJones,-0.561,0.232,0.768,0.0,RT @RealAlexJones: MAXIMUM EMERGENCY! Rogue CIA Plans To Assassinate Trump Before Election - https://t.co/B0RXajXeLV
Eonkidz,infowars,-0.561,0.232,0.768,0.0,RT @RealAlexJones: MAXIMUM EMERGENCY! Rogue CIA Plans To Assassinate Trump Before Election - https://t.co/B0RXajXeLV
JJl500,TimRunsHisMouth,0.0,0.0,1.0,0.0,RT @TimRunsHisMouth: Here's a list of all the Foreign Governments who interfered in the last Presidential election. I mean... donated to th
Rutherfo1Melody,Green_Footballs,0.25,0.1,0.72,0.18,RT @Green_Footballs: One thing was confirmed beyond any doubt in this election: the Republican Party is just fine with white supremacism.
silentkpants,timcarvell,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
silentkpants,freep,-0.1531,0.143,0.738,0.119,RT @timcarvell: @markoff 4. The actual situation is bad enough w/o needing to hype it up. Better article here: https://t.co/QKF8lsoHJw
asribera,UnhingedBekah,0.5046,0.0,0.86,0.14,RT @UnhingedBekah: I thought since after the results of this election anyone can be president so heres my acceptance speech @ddlovato @noma
HollieEnnissPoe,NPR,0.0,0.0,1.0,0.0,"RT @NPR: NPR has independently confirmed the CIA's new assessment, which concludes that ""Russia was trying to tip the election to Trump."" h"
KenYounos,CarmineZozzora,0.2462,0.094,0.77,0.136,"RT @CarmineZozzora: Oct 31, 2016: FBI sees no clear link to Russia:https://t.co/L4av41NW2aPost Nov 8th: It was Russia! Russia did it! C"
KenYounos,t,0.2462,0.094,0.77,0.136,"RT @CarmineZozzora: Oct 31, 2016: FBI sees no clear link to Russia:https://t.co/L4av41NW2aPost Nov 8th: It was Russia! Russia did it! C"
sandlorn,KellyannePolls,-0.3182,0.099,0.901,0.0,"RT @KellyannePolls: Now match the 1.2 billion dollars with the ""winning"" campaign messages and the post-election spin as to why they lost."
thinkkimthink,Amy_Siskind,-0.2023,0.133,0.766,0.101,"RT @Amy_Siskind: It seems like Friday's outrage about the CIA Report and Russia's infiltrating our election, has simmered down to a whimper"
timmcdaniels,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
Tabitha__Lily,RichardGrenell,0.0,0.0,1.0,0.0,"RT @RichardGrenell: Tip for @RyanLizza: If US had evidence that the Russian Government interfered with our election, we would see multiple"
denny_inspace,howiewolf,0.0772,0.0,0.933,0.067,RT @howiewolf: Number of Congressional hearings on Benghazi: 33.Number of Congressional hearings on Russian efforts to influence our elec
jmcrtc1,Slate,-0.34,0.146,0.854,0.0,RT @Slate: Key senators: Reports of Russian election meddling should alarm every American: https://t.co/O3nv3P6ts3 https://t.co/zFD04tOQRM
jmcrtc1,slate,-0.34,0.146,0.854,0.0,RT @Slate: Key senators: Reports of Russian election meddling should alarm every American: https://t.co/O3nv3P6ts3 https://t.co/zFD04tOQRM
LaVerneWright13,SolidBlue2012,0.2023,0.0,0.904,0.096,RT @SolidBlue2012: Trump faces first significant post-election pushback from Republicans over CIA report on Russia - LA Times https://t.co/
LaVerneWright13,t,0.2023,0.0,0.904,0.096,RT @SolidBlue2012: Trump faces first significant post-election pushback from Republicans over CIA report on Russia - LA Times https://t.co/
gamecat,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
twagz20,markoff,-0.25,0.136,0.777,0.087,RT @markoff: Michigan officials admit majority of Detroit vote counting machines broke on Election Day - Palmer Report https://t.co/Gx9btLq
twagz20,t,-0.25,0.136,0.777,0.087,RT @markoff: Michigan officials admit majority of Detroit vote counting machines broke on Election Day - Palmer Report https://t.co/Gx9btLq
PDBax,NormEisen,0.2211,0.156,0.693,0.151,@NormEisen He won election despite xenophobia. Just because people are concerned w business conflicts doesn't mean they don't want him POTUS
mchwllms5,nytimes,0.6124,0.106,0.63,0.264,RT @nytimes: A remarkable breach has emerged between Trump and intelligence agencies over claims that Russia hacked the election https://t.
mchwllms5,,0.6124,0.106,0.63,0.264,RT @nytimes: A remarkable breach has emerged between Trump and intelligence agencies over claims that Russia hacked the election https://t.
valeriekeefe,iCounterSpin,0.0,0.0,1.0,0.0,"RT @iCounterSpin: If Russian's are the cause of the election, does that mean folks will lay off Berner's, Greens and Millennials now?"
dadavies,timoreilly,0.7845,0.0,0.635,0.365,"RT @timoreilly: A wonderful proposal for strengthening the civic  fabric of society, from @ericpliu. https://t.co/pFYJSgnWAC"
dadavies,theatlantic,0.7845,0.0,0.635,0.365,"RT @timoreilly: A wonderful proposal for strengthening the civic  fabric of society, from @ericpliu. https://t.co/pFYJSgnWAC"
DWGreviews,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
Plantflowes,aliasvaughn,-0.2732,0.126,0.795,0.079,RT @aliasvaughn: 10. #AuditTheVote people told you straight the day after election that Russian hackers were attacking US on election night.
Shalom555222,true_pundit,-0.6124,0.318,0.547,0.135,RT @true_pundit: BuzzFeed Caught Citing Fake Data In Its Fake News Won The Election For Trump Argument  AGAIN #FakeNewshttps://t.co/mY
JPKC,socialmediatoday,0.0,0.0,1.0,0.0,How the 2016 US Presidential Election Will #socialmedia https://t.co/AS2qYrkDCz https://t.co/MVKtMnIDKE
DrSoup34,smotus,0.3164,0.144,0.642,0.214,"RT @smotus: ""Happy holidays.""""WE'RE UNDER ATTACK!""""Russia hacked our election.""""Meh, this happens all the time."""
_kaitlin_s,smotus,0.3164,0.144,0.642,0.214,"RT @smotus: ""Happy holidays.""""WE'RE UNDER ATTACK!""""Russia hacked our election.""""Meh, this happens all the time."""
Yemayah777,TazKHC,0.2924,0.0,0.902,0.098,RT @TazKHC: A bi-partisan group is challenging Trump's denial of Russian hacking in our election! Trump continuing to discredit the CIA! Lo
baloo035,PolitiFact,0.1027,0.101,0.78,0.119,RT @PolitiFact: NEW: Priebus says there's no clear report on Russia trying to shape US election. False. @MeetThePress https://t.co/YbOVAjVb
baloo035,t,0.1027,0.101,0.78,0.119,RT @PolitiFact: NEW: Priebus says there's no clear report on Russia trying to shape US election. False. @MeetThePress https://t.co/YbOVAjVb
YvetteKopp,Ziggy_Daddy,0.8126,0.0,0.714,0.286,RT @Ziggy_Daddy: I never thought I'd live to see the day when Russia interferes with our election to help Trump win and Americans are okay
ParisNeully,SenJohnMcCain,-0.296,0.099,0.901,0.0,RT @SenJohnMcCain: #CyberSecurity can't be partisan. The stakes are too high. Will work across aisle to investigate &amp; stop cyberattacks htt
complainster,aliasvaughn,-0.3348,0.117,0.883,0.0,RT @aliasvaughn: @davebernstein DOJ numbers here . CALL!!! Demand full investigation on Russia hacks/comey/trump AND audit and redo of elec
mikemovie,VABVOX,-0.7184,0.25,0.75,0.0,"RT @VABVOX: I can't be the only reporter who finds it odd after months of claiming election was rigged, @BernieSanders has no comment on Tr"
Ruth_elsesser,EJDionne,-0.5423,0.234,0.659,0.106,RT @EJDionne: Why a #Trump presidency inspires fear. My column: Russia's role in his election is scary. His response: Even more sohttps://
fruitfriend,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
anamerican397,realDonaldTrump,0.6249,0.0,0.83,0.17,"RT @realDonaldTrump: I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is ove"
cecilia_c_chung,JuddLegum,0.4404,0.0,0.838,0.162,RT @JuddLegum: UPDATE: GOP members supporting investigation of Russian interference in electionSen GrahamSen McCainSen LankfordSen Cor
heatherdean71,Neighbors4Hill,0.0,0.0,1.0,0.0,RT @Neighbors4Hill: Call Mitch McConnell 202-224-2541 to ask him why he kept us in the dark about foreign interference in our election
tony_thetruth,1Marchella,-0.1531,0.078,0.922,0.0,"RT @1Marchella: ""We've got no evidence that #RussianHackers influenced the election, but we're going to report they did anyway"" https://t.c"
tony_thetruth,,-0.1531,0.078,0.922,0.0,"RT @1Marchella: ""We've got no evidence that #RussianHackers influenced the election, but we're going to report they did anyway"" https://t.c"
grumpee_mike,NateSilver538,0.5584,0.0,0.82,0.18,RT @NateSilver538: I'll put it like this: Clinton would almost certainly be President-elect if the election had been held on Oct. 27 (day b
Dimipace,TimOBrien,0.296,0.109,0.698,0.194,"RT @TimOBrien: We're now in the era of a PEOTUS who dismisses facts, routinely lies, and creates false realities for supporters: https://t."
Dimipace,,0.296,0.109,0.698,0.194,"RT @TimOBrien: We're now in the era of a PEOTUS who dismisses facts, routinely lies, and creates false realities for supporters: https://t."
CPTsopiens,seanmdav,-0.8176,0.292,0.664,0.043,"RT @seanmdav: Is the NFL still blaming the election for this, or have they moved on to another stupid excuse no one buys? https://t.co/OXga"
CPTsopiens,t,-0.8176,0.292,0.664,0.043,"RT @seanmdav: Is the NFL still blaming the election for this, or have they moved on to another stupid excuse no one buys? https://t.co/OXga"
CAGoldenBear,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
DiggleLynn,TrumpsNewsDaily,0.0,0.0,1.0,0.0,RT @TrumpsNewsDaily: Trump on Russia meddling in US election: 'I don't believe it' https://t.co/Vvj0P3QTGw via @YahooNews
DiggleLynn,yahoo,0.0,0.0,1.0,0.0,RT @TrumpsNewsDaily: Trump on Russia meddling in US election: 'I don't believe it' https://t.co/Vvj0P3QTGw via @YahooNews
sabretoothsdrum,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
Beverly86418528,Stevenwhirsch99,0.0,0.0,1.0,0.0,RT @Stevenwhirsch99: Heres a list of the governments that tried to influence our election (donated to the Clinton foundation). None of thes
DarienBresee,MarkSimoneNY,-0.3612,0.2,0.8,0.0,RT @MarkSimoneNY: A picture of the people who rigged the election: https://t.co/Ma08WgVLko
DarienBresee,twitter,-0.3612,0.2,0.8,0.0,RT @MarkSimoneNY: A picture of the people who rigged the election: https://t.co/Ma08WgVLko
DragoEldur,KellyannePolls,-0.3182,0.099,0.901,0.0,"RT @KellyannePolls: Now match the 1.2 billion dollars with the ""winning"" campaign messages and the post-election spin as to why they lost."
AndrewKayNZ,twitter,0.3412,0.0,0.893,0.107,"You won't have to worry about the next election, the way labour is polling, you'll probably be rolled by then. https://t.co/RYgToCi1yt"
Ish,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
RMB_Investor,rmbinvestor,0.0,0.0,1.0,0.0,"Ld 's Hk Chief Executive Says Not To Seek Re Election  : https://t.co/4zGz9NLRb6 ,"
HonestPolitics7,Steven_Strauss,-0.3612,0.194,0.711,0.095,"RT @Steven_Strauss: Man who thought HRC should lose security clearance over e-mail server, sees no need for investigation into Russian hack"
Awtcaribbean,politico,0.0,0.0,1.0,0.0,Obama orders 'deep dive' of election-related hacking https://t.co/DudYfoiTB3
AndreFrato,mitchellvii,-0.5574,0.195,0.805,0.0,RT @mitchellvii: So the Democrats are claiming that the Russians rigged the election by exposing what Democrats really think?You can't ma
Karen6349,DavidAFrench,-0.3612,0.122,0.878,0.0,RT @DavidAFrench: What's the argument against a bipartisan investigation of Russian efforts to disrupt and/or influence the election? Is th
MtRushmore2016,mitchellvii,-0.5574,0.195,0.805,0.0,RT @mitchellvii: So the Democrats are claiming that the Russians rigged the election by exposing what Democrats really think?You can't ma
Benst90,Steven_Strauss,-0.128,0.067,0.933,0.0,RT @Steven_Strauss: Trump: Obama is a Kenyan MuslimFox: America needs to hear this CIA: Putin tried to rig election for Trump Fox: we c
BudtPert,greenhousenyt,-0.0516,0.11,0.787,0.102,"RT @greenhousenyt: ""The fact that 59% of the vote-counting machines in Detroit all broke on Nov. 8 stands out as a stunning developmnt"" htt"
AbhijitVaidya,heytal,-0.3182,0.18,0.735,0.086,"@heytal no. Visited Chinchwad yesterday. There were a lot of those. In pune, no of hoardings are increased in general, considering election"
BonnieSue05060,summerbrennan,0.0,0.0,1.0,0.0,"RT @summerbrennan: This is real, I checked. It's Putin's Bannon, gloating that ""Washington is ours"" after the election. https://t.co/w5w06Z"
BonnieSue05060,t,0.0,0.0,1.0,0.0,"RT @summerbrennan: This is real, I checked. It's Putin's Bannon, gloating that ""Washington is ours"" after the election. https://t.co/w5w06Z"
PAposter,palmerreport,-0.4215,0.157,0.843,0.0,Jim Crow in Michigan: 87 vote machines broke in Americas blackest city on Election Day https://t.co/4mhK9gYmIS
Angelmdunn1961,PrisonPlanet,-0.5106,0.191,0.809,0.0,"RT @PrisonPlanet: Post election riots: FAILED.Jill Stein recount: FAILED.Intimidation of EC members: FAILED.""Fake news"": FAILED.""Russia"
angelfrmcanada,PolitiFact,0.1027,0.101,0.78,0.119,RT @PolitiFact: NEW: Priebus says there's no clear report on Russia trying to shape US election. False. @MeetThePress https://t.co/YbOVAjVb
