User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
mapocoloco,nytimes,0.4767,0.0,0.853,0.147,"RT @nytimes: Donald Trump indicated that, as president, he would take the daily intelligence briefing ""when I need it"" https://t.co/3V8bqwm"
mapocoloco,t,0.4767,0.0,0.853,0.147,"RT @nytimes: Donald Trump indicated that, as president, he would take the daily intelligence briefing ""when I need it"" https://t.co/3V8bqwm"
DonMcKenzie,Delo_Taylor,-0.4404,0.14,0.86,0.0,RT @Delo_Taylor: I was never 100% on board with Bernie &amp; some of his Stans may have been obnoxious but they did have a plan for stopping Tr
rappahannockmag,JohnWDean,-0.6597,0.188,0.76,0.052,"RT @JohnWDean: Notwithstanding Trump's efforts to kill this, there are a few real Americans in the US Senate who want answers: https://t.co"
rappahannockmag,t,-0.6597,0.188,0.76,0.052,"RT @JohnWDean: Notwithstanding Trump's efforts to kill this, there are a few real Americans in the US Senate who want answers: https://t.co"
schober_lisa,arnonmishkin,-0.3818,0.133,0.867,0.0,@arnonmishkin @Martina @Bencjacobs Trumps father had Alzheimer's.  Trump is showing signs himself.  He is being manipulated by Russia.
serge_poznanski,ft,0.34,0.0,0.876,0.124,"FT: Trump puts four-decade old ""One China"" policy in play: Trumps position is you can trade anything  https://t.co/sqhZdwbYkr"
thalsey51,DCClothesline,-0.4588,0.232,0.67,0.098,Secret CIA Assessment Story About Russia Helping Trump is Fake News Youve Been Warned About https://t.co/uMG6yQmixc via @DCClothesline
thalsey51,linkis,-0.4588,0.232,0.67,0.098,Secret CIA Assessment Story About Russia Helping Trump is Fake News Youve Been Warned About https://t.co/uMG6yQmixc via @DCClothesline
sweettea4me925,amjoyshow,0.0,0.0,1.0,0.0,RT @amjoyshow: Trump advisers with Russian ties https://t.co/hISlPTqQ2m via @amjoyshow
sweettea4me925,msnbc,0.0,0.0,1.0,0.0,RT @amjoyshow: Trump advisers with Russian ties https://t.co/hISlPTqQ2m via @amjoyshow
lord_rosenberg,netw3rk,-0.4215,0.304,0.543,0.152,RT @netw3rk: 2016Media: white supremacists dress nice nowTeen Vogue: Trump is destroying democracy
semirabella,TimOBrien,0.296,0.109,0.698,0.194,"RT @TimOBrien: We're now in the era of a PEOTUS who dismisses facts, routinely lies, and creates false realities for supporters: https://t."
semirabella,,0.296,0.109,0.698,0.194,"RT @TimOBrien: We're now in the era of a PEOTUS who dismisses facts, routinely lies, and creates false realities for supporters: https://t."
puppy_training_,twitter,0.0,0.0,1.0,0.0,#WolrdNewsNew York TimesTrump Suggests Using Bedrock China Policy as Bargaining ChipNew York TimesPresident-ele https://t.co/dMTHtcInKe
LetsSeeLife,ObamaMalik,0.4019,0.0,0.828,0.172,RT @ObamaMalik: Let us support those who were in the fox hole with Mr.Trump.
TerrySoileau,ABCPolitics,-0.4215,0.192,0.808,0.0,"RT @ABCPolitics: Poll shows public skeptical over key Trump proposals, from cutting environmental regulations to repealing Obamacare https:"
LSoudek,CaptainsLog2016,0.1531,0.097,0.784,0.119,RT @CaptainsLog2016: Donald Trump is pretty upset because Navy didn't winHe was going to root for ArmyBut then he found out they were n
WLSTONE1,FoxNews,0.0,0.0,1.0,0.0,"RT @FoxNews: .@JudgeJeanine: ""We have a new Pres.-elect. His name is Donald J. Trump. So move over, Barack. Move over, Hillary."" https://t."
WLSTONE1,,0.0,0.0,1.0,0.0,"RT @FoxNews: .@JudgeJeanine: ""We have a new Pres.-elect. His name is Donald J. Trump. So move over, Barack. Move over, Hillary."" https://t."
AppleCupBlues,twitter,0.8402,0.0,0.64,0.36,"""...the combined wealth of Trump's prospective cabinet tops $14 billion  more than 30 times greater than that of e https://t.co/jnpVl5HOmi"
OliviaAllenC,breitbart,-0.4767,0.181,0.819,0.0,"Rand Paul: Unrealistic, Unfair to Expect Trump to Sell All of His Businesses https://t.co/Epq0lgPFK8 https://t.co/B530oW4tyM"
