User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
_bigpharma,RicheyCollazo,0.8356,0.0,0.603,0.397,RT @RicheyCollazo: white women: Hillary Clintons win is a win for women!me: WHICH WOMEN?  https://t.co/FONDX957Gy
_bigpharma,twitter,0.8356,0.0,0.603,0.397,RT @RicheyCollazo: white women: Hillary Clintons win is a win for women!me: WHICH WOMEN?  https://t.co/FONDX957Gy
br1xanna,BandzUpDee,-0.8441,0.269,0.731,0.0,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH
gelegwen,HillaryClinton,0.0,0.0,1.0,0.0,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https
gelegwen,hillaryclinton,0.0,0.0,1.0,0.0,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https
Larkell_,jacksfilms,0.8576,0.0,0.68,0.32,"RT @jacksfilms: ""If I win, I'm throwing you in jail!"" bellows Trump""Why?"" blushes Hillary""Because you're so sexy it's illegal""He then gr"
fredbauerblog,nationalreview,0.0,0.0,1.0,0.0,"Before the deluge of results, I'll reiterate this: Our republic will survive whatever the result. https://t.co/TUW7beveWb"
RespectOurFlag2,WDFx2EU8,-0.6739,0.232,0.768,0.0,RT @WDFx2EU8: WIDESPREAD VOTER FRAUD: Philadelphia Democrats Pass Out Pro-Hillary Brochures At Polling Sites (VIDEO) https://t.co/7w2LzjPIYc
RespectOurFlag2,americanlookout,-0.6739,0.232,0.768,0.0,RT @WDFx2EU8: WIDESPREAD VOTER FRAUD: Philadelphia Democrats Pass Out Pro-Hillary Brochures At Polling Sites (VIDEO) https://t.co/7w2LzjPIYc
suleikamenaa,J4CKMULL,0.0,0.0,1.0,0.0,RT @J4CKMULL: Hillary Clinton really did the #MannequinChallenge on #ElectionDay https://t.co/DxtJuf0zG0
suleikamenaa,twitter,0.0,0.0,1.0,0.0,RT @J4CKMULL: Hillary Clinton really did the #MannequinChallenge on #ElectionDay https://t.co/DxtJuf0zG0
Tiph_Seven,parksandrecnbc,0.0,0.0,1.0,0.0,"Hillary got to come out to ""Get on your feet"" one time for @parksandrecnbc #ClintonKnope"
sherrymisner,dawg_lb,0.0,0.0,1.0,0.0,"RT @dawg_lb: Hillary R Clinton,YOU SHOULD NEVER BE ABLE TO LOOK AT YOURSELF IN THE MIRROR!!!!!!!VOTE AS FAST AS YOU CAN!!!!!!!!!!TRUM"
Isaiah1337,BandzUpDee,-0.8441,0.269,0.731,0.0,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH
parettijacob,REALBrianStreng,0.7096,0.0,0.789,0.211,RT @REALBrianStreng: Joke is on Hillary if she wins the election because that means she has to sit at the desk Monica was under
nicholas51,newsmax,0.0,0.0,1.0,0.0,"RT @newsmax: With 1% of the vote in for Kentucky, Trump is holding a steady lead over Hillary Clinton. #ElectionNight #myvote2016 https://t"
nicholas51,,0.0,0.0,1.0,0.0,"RT @newsmax: With 1% of the vote in for Kentucky, Trump is holding a steady lead over Hillary Clinton. #ElectionNight #myvote2016 https://t"
shelbghughes,whytruy,0.3612,0.0,0.828,0.172,RT @whytruy: *casts vote for Hillary* Hillary: Thank you for your vot-Me: https://t.co/EjvxMWZD2c
shelbghughes,twitter,0.3612,0.0,0.828,0.172,RT @whytruy: *casts vote for Hillary* Hillary: Thank you for your vot-Me: https://t.co/EjvxMWZD2c
_SAVE_AMERICA,WayneDupreeShow,-0.296,0.136,0.864,0.0,RT @WayneDupreeShow:  Huckabee: Hillary Has No Empathy For The Working Class https://t.co/NEEjhHx6Zy #DrainTheSwamp #TrumpTrain https://t.
_SAVE_AMERICA,newsninja2012,-0.296,0.136,0.864,0.0,RT @WayneDupreeShow:  Huckabee: Hillary Has No Empathy For The Working Class https://t.co/NEEjhHx6Zy #DrainTheSwamp #TrumpTrain https://t.
feltonewt,souljaboy,-0.5719,0.493,0.19,0.318,RT @souljaboy: I hope Hillary win fuck trump stupid ass
blurrygambino,twitter,0.128,0.169,0.635,0.196,When you realize that we're screwed if trump or Hillary wins the election https://t.co/5ULRBFJVIR
andBridget,BandzUpDee,-0.8441,0.269,0.731,0.0,RT @BandzUpDee: Vote Hillary Clinton idc if she a liar y'all boyfriends lie to y'all everyday and y'all still fw them so VOTE HILLARY BITCH
blujayva,JudicialWatch,0.2023,0.0,0.909,0.091,RT @JudicialWatch: Hillary and many of her top aides treated the court process with contempt.View our Weekly Update here.https://t.co/qjW
courtalexandra_,JuiceTha56,0.168,0.0,0.927,0.073,RT @JuiceTha56: Will Hillary make pants suits mandatory? Will Trump build a wall on Mexicos border? Find out tomorrow on the season fin
itssallymarie,AfroGumOfficiaI,0.0,0.0,1.0,0.0,RT @AfroGumOfficiaI: Hillary Clinton doing the #MannequinChallenge on #ElectionDay  https://t.co/fGOnNfYXWQ
itssallymarie,twitter,0.0,0.0,1.0,0.0,RT @AfroGumOfficiaI: Hillary Clinton doing the #MannequinChallenge on #ElectionDay  https://t.co/fGOnNfYXWQ
_Kareem12,BangYaBrainsOut,0.5719,0.0,0.748,0.252,RT @BangYaBrainsOut: if Hillary wins I'll PayPal everyone $100 that RTs this.
yanesque,sassytbh,0.0,0.0,1.0,0.0,RT @sassytbh: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  https://t.co/bqMEchufZd
yanesque,twitter,0.0,0.0,1.0,0.0,RT @sassytbh: Rihanna wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  https://t.co/bqMEchufZd
4peaks94,mitchellvii,-0.7645,0.32,0.68,0.0,"RT @mitchellvii: Based upon exits, voters very unhappy with big money corruption.  That's bad for Hillary."
DrThomasPaul,DrThomasPaul,-0.1531,0.164,0.701,0.136,"RT @DrThomasPaul: .@HillarysAmerica is one of division, crime, #pharma &amp; riots.It's good for corrupt #BigBusiness.#gmo #Hillary #Trumphttp"
_KFrye,EvanFoerster,0.3612,0.0,0.615,0.385,RT @EvanFoerster: @_KFrye u like hillary?
erekaarmstead,rebel2187,0.0,0.0,1.0,0.0,RT @rebel2187: Donald and Hillary made an appearance in US Gov today  https://t.co/zOJflct4WM
erekaarmstead,twitter,0.0,0.0,1.0,0.0,RT @rebel2187: Donald and Hillary made an appearance in US Gov today  https://t.co/zOJflct4WM
thiboteirlinck,DaiIyRap,0.0772,0.0,0.86,0.14,RT @DaiIyRap: Hillary Clinton doing the Mannequin Challenge https://t.co/yZXFZ1hNrn
thiboteirlinck,twitter,0.0772,0.0,0.86,0.14,RT @DaiIyRap: Hillary Clinton doing the Mannequin Challenge https://t.co/yZXFZ1hNrn
BeatsBy777,UglyGod,-0.5106,0.121,0.879,0.0,RT @UglyGod: It means yall shoulda fuckin listened &amp; kept Bernie Sanders as an option cause now we all look dumb af choosing between Hillar
HeelStCloud,Rokkaaaaa,-0.6705,0.287,0.599,0.114,"RT @Rokkaaaaa: I laugh at people whose main beef with Hillary is lying. Dude people lie everyday. Today, I lied and blamed metro for being"
LeighaCrumpler,ParksPics,0.0,0.0,1.0,0.0,RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc
LeighaCrumpler,twitter,0.0,0.0,1.0,0.0,RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc
TarnTawanxx,billboard,0.0,0.0,1.0,0.0,RT @billboard: Mother Monster wants you to vote.   https://t.co/988SkvrQOx https://t.co/CHliI37Ymk
TarnTawanxx,billboard,0.0,0.0,1.0,0.0,RT @billboard: Mother Monster wants you to vote.   https://t.co/988SkvrQOx https://t.co/CHliI37Ymk
ruthe_susan,Wil_Johnson1,0.0,0.0,1.0,0.0,"RT @Wil_Johnson1: In Kentucky and Indiana with just a little over 3% reporting, Trump is getting 2-1 votes over Hillary https://t.co/4wCD0Q"
ruthe_susan,t,0.0,0.0,1.0,0.0,"RT @Wil_Johnson1: In Kentucky and Indiana with just a little over 3% reporting, Trump is getting 2-1 votes over Hillary https://t.co/4wCD0Q"
JenTromans,Alex_Hxrrison,0.3291,0.0,0.895,0.105,"RT @Alex_Hxrrison: If Hillary wins then she is the first F president. Oops should've been female but the ""emale"" got deleted #ElectionDay #"
atf13atf,souljaboy,-0.5719,0.493,0.19,0.318,RT @souljaboy: I hope Hillary win fuck trump stupid ass
keluttcu,YoungDems4Trump,0.2023,0.141,0.68,0.18,RT @YoungDems4Trump: if you are still undecided:Trump loves America.Hillary hates Americans.The choice is simple and clear.#myvote20
czareah_,whytruy,0.3612,0.0,0.828,0.172,RT @whytruy: *casts vote for Hillary* Hillary: Thank you for your vot-Me: https://t.co/EjvxMWZD2c
czareah_,twitter,0.3612,0.0,0.828,0.172,RT @whytruy: *casts vote for Hillary* Hillary: Thank you for your vot-Me: https://t.co/EjvxMWZD2c
dgraz007,HillaryClinton,0.0,0.0,1.0,0.0,RT @HillaryClinton: Everything weve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https
