User,Original_User/Web,Compound,Negative,Neutral,Positive,Tweet
HURRICANEPAUL,chelseahandler,0.6369,0.0,0.755,0.245,".@chelseahandler You believed the #FakeNews from @HuffingtonPost that said ""Hillary's chances of winning is 98% to Trump's 2%""LOL#Stupid"
My2cents17,nia4_trump,-0.7184,0.304,0.696,0.0,"RT @nia4_trump: #FridayFeeling Hillary emerged 3 times since her crushing defeat, always wearing purple, the color of Rebellion &amp; Power.  V"
LinBennett,FoxNews,0.0,0.0,1.0,0.0,"RT @FoxNews: .@AllenWest: ""It was President Obama, along with Hillary Clinton, that came up with the 'Russian reset button.'"" @JudgeJeanine"
GingerJoy98,twitter,0.0,0.0,1.0,0.0,The crazies are running the country. Where are the Dems on Russia hacking?  They need to Benghazi the Republicans l https://t.co/XfzJcpO3aR
tlalmays,Lrihendry,-0.5848,0.147,0.853,0.0,"RT @Lrihendry: If Russia is the enemy, why didn't anyone look into why Hillary sold 20% of our uranium to them! #FakeNewsChallenge @realDon"
valfarly,ericgarland,0.6369,0.0,0.826,0.174,"RT @ericgarland: Hillary, for her part, gives a brief and all-too-calm speech and goes hiking. Probably the best move on the board."
BrotherEddy,CNN,-0.4449,0.268,0.732,0.0,@CNN how is Hillary not #1 Hero to CNN?
carolina_brenna,phil200269,0.0,0.0,1.0,0.0,RT @phil200269: What if the election hadn't been hacked?What if Hillary hadn't stole the nomination?What if Obama hadn't given rise to
Llama_Chameleon,bruce_arthur,0.7184,0.0,0.769,0.231,RT @bruce_arthur: Fun: imagine Hillary was elected with Russian help and gave donors cabinet posts and kept the Clinton Foundation and went
LVNancy,LeahR77,-0.5106,0.163,0.837,0.0,RT @LeahR77: Tweedle Dee &amp; Tweedle Dumb @SenJohnMcCain  &amp; @LindseyGrahamSC Should Be Investigating Hillary's Home Brewed Server #FakeNews #
wit_or_whatever,kashanacauley,-0.4767,0.205,0.795,0.0,RT @kashanacauley: It's a shame Hillary didn't connect with white Russian working class voters.
smlyc,ericgarland,0.8761,0.0,0.654,0.346,"RT @ericgarland: I'm from Vermont and have known Bernie forever, so I'm very surprised, but everyone kinda likes it. Hillary wins anyhow."
Inked1BNA,Im_ConnorKelley,0.5719,0.0,0.709,0.291,RT @Im_ConnorKelley: @realDonaldTrump @FoxNews Hillary won by 2.83 million votes
jonathanjewel,TheBaxterBean,-0.3182,0.113,0.887,0.0,"RT @TheBaxterBean: REMINDER: Hillary Clinton lost Michigan by only 10,704 votes. Detroit has 513,000 registered voters &amp; turnout declined ("
JmyNAMEisJILL,JoelNihlean,0.2263,0.111,0.737,0.152,@JoelNihlean @danfelix82 @justinhendrix @realDonaldTrump This all could have been avoided if Hillary would have been honest about Benghazi.
EpilepticHorse,NotWesleyWelker,-0.296,0.115,0.885,0.0,@NotWesleyWelker @blamemarktjan @PicardTips no the EC is not democratic. T\he people already voted and hillary came out ahead
PatrioticAnnie,Cernovich,0.7717,0.0,0.688,0.312,"RT @Cernovich: Do you trust agents within the CIA, who are Hillary Clinton and Obama loyalists, to tell the truth?"
theidealtwit,asamjulian,-0.5267,0.201,0.738,0.061,"RT @asamjulian: It wasnt Russia, nor Comey. Hillary was an unlikable, uninspiring sociopath w/ no message and multiple legal problems. IT"
nataliedeedah,CronkiteSays,-0.3818,0.205,0.697,0.098,RT @CronkiteSays: REAL NEWSWe've completed an extensive analysis into why Hillary lost and have determined Hillary caused Hillary to lose
DragonPatriota,aqualife2009,0.6597,0.0,0.735,0.265,"@aqualife2009 que se pronuncie Obama SOS malandros. Help us OTAN, help us HillaryAh verdad que gano trump ."
go4gin,steph93065,0.0,0.0,1.0,0.0,RT @steph93065: To all the crazies following the Russian/Trump thing...Trump didn't give Russia enough uranium to nuke the entire world...
NorCal_510,StefanMolyneux,-0.4588,0.125,0.875,0.0,RT @StefanMolyneux: Cant wait for Dem investigation to figure out how Russian hackerz (TM) forced Hillary to take millions in Saudi money.
kingvideo123,RealTimBlack,0.0,0.124,0.714,0.162,"RT @RealTimBlack: Hillary tried to buy the Presidency and failed. Now, how about you tweet about something important like fixing Flint's Wa"
dailydishwater,matthewamiller,0.0,0.0,1.0,0.0,RT @matthewamiller: It will be news to Hillary Clinton that the FBI will not draw inferences about things it can't prove in court. https://
dailydishwater,,0.0,0.0,1.0,0.0,RT @matthewamiller: It will be news to Hillary Clinton that the FBI will not draw inferences about things it can't prove in court. https://
suthernboy100,RepStevenSmith,0.0772,0.0,0.939,0.061,RT @RepStevenSmith: Want to hear about what Hillary did in Libya from a real journalist? @wikileaks Julian Assange explains it in 2 minutes
kcbaseballer50,CarmineZozzora,-0.6705,0.208,0.792,0.0,RT @CarmineZozzora: Fake news narrative check:Russia is to blame for the fact that Hillary and the DNC and the MSM are completely corrupt
badger3030,America_1st_,-0.6901,0.222,0.778,0.0,"RT @America_1st_: .@GovMikeHuckabee: ""It wasn't the Russians that beat them. It was a lack of ideas. It was Hillary being a very poor candi"
Fitz5studio,YouTube,0.0,0.0,1.0,0.0,Anonymous   The End Of Hillary Clinton! https://t.co/lofaZIdnMx via @YouTube
Fitz5studio,youtube,0.0,0.0,1.0,0.0,Anonymous   The End Of Hillary Clinton! https://t.co/lofaZIdnMx via @YouTube
laughingat,Craigipedia,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
laughingat,twitter,-0.6369,0.208,0.792,0.0,"RT @Craigipedia: Remember all the geniuses who voted against Hillary because they hated ""the Clinton Dynasty""? https://t.co/rwJ4K9dlmO"
lowki76,JohnLeguizamo,0.0,0.0,1.0,0.0,RT @JohnLeguizamo: Over 4 million have already asked the electoral college to elect @HillaryClinton as president on Dec 19. https://t.co/gh
lowki76,t,0.0,0.0,1.0,0.0,RT @JohnLeguizamo: Over 4 million have already asked the electoral college to elect @HillaryClinton as president on Dec 19. https://t.co/gh
lillyloveyy,patriotrising,-0.4767,0.205,0.795,0.0,The real reason Hillary Clinton is scolding Americans over fake news https://t.co/qlWn81p1Pq https://t.co/stxQbWKtbq
SurvivorMed,MarkDice,-0.5411,0.179,0.821,0.0,RT @MarkDice: Hillary Clinton Wasted 1.2 Billion Dollars on Her Presidential Campaign!    Here's the Report:  https://t.co/8L8KaEbUzR http
SurvivorMed,youtube,-0.5411,0.179,0.821,0.0,RT @MarkDice: Hillary Clinton Wasted 1.2 Billion Dollars on Her Presidential Campaign!    Here's the Report:  https://t.co/8L8KaEbUzR http
